Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese

IZYadvancegunrepairkit,items,gun,,Advanced Repair Kit,Advanced Repair Kit,,,,,,,,,,,,,
IZYadvancegunrepairkitDesc,items,gun,,,A repair kit used to repair Tier 4 weapons.,,,,,,,,,,,,,
buffIZYNightHunterKitName,buffs,Buff,,Night Hunter,Night Hunter,,,,,,,,,,,,,
IZYNightHunterKit,buffs,Buff,,Night Hunter,Night Hunter,,,,,,,,,,,,,
IZYNightHunterKit_Aiming,buffs,Buff,,Night Hunter,Night Hunter - Aiming,,,,,,,,,,,,,
IZYNightHunterKitDesc,buffs,Buff,,,Toggle on the nightvision scope at night.\n+50% damage while aiming through the scope at night.,,,,,,,,,,,,,
//=================================,,,,,,,,,,,,,,,,,,
//IZY_MMVMV2,,,,,,,,,,,,,,,,,,
//========================,,,,,,,,,,,,,,,,,,
IZYmodPistolHoldstyle01,item_modifiers,mod,,,Handgun Holdstyle Mod V1,,,,,,,,,,,,,
IZYmodPistolHoldstyle01Desc,item_modifiers,mod,,,Install it to modify the weapon's hold style (version 1).,,,,,,,,,,,,,
IZYmodPistolHoldstyle02,item_modifiers,mod,,,Handgun Holdstyle Mod V2,,,,,,,,,,,,,
IZYmodPistolHoldstyle02Desc,item_modifiers,mod,,,Install it to modify the weapon's hold style (version 2).,,,,,,,,,,,,,
//==================================================,,,,,,,,,,,,,,,,,,
//IZY_RMP_556pack,,,,,,,,,,,,,,,,,,
//==================================================,,,,,,,,,,,,,,,,,,
perkAutoWeaponsCompleteDesc,progression,perk  book,,,Each kill boosts your run speed by 20% for 20 seconds. Bulk craft all 5.56mm ammo.,,,,,,,,,,,,,
perkAutoWeaponsCompleteLongDesc,progression,perk  book,,,Offensive Strike: Use the fury of combat adrenaline to close the distance on your enemies. Each kill boosts your run speed by 20% for 20 seconds. Bulk Crafting: Learn to craft bulk quantities of all 5.56mm ammo.,,,,,,,,,,,,,
perkAutoWeaponsCompleteName,progression,perk  book,,,Automatic Weapons Handbook - Completion,,,,,,,,,,,,,
