Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
gunBowT0PrimitiveBow,items,Gun,,,Primitive Bow,,,,,,,,,,,,,
gunBowT1IronCrossbow,items,Gun,,,Iron Crossbow,,,,,,,,,,,,,
gunBowT1WoodenBow,items,Gun,,,Wooden Bow,,,,,,,,,,,,,
gunBowT3CompoundBow,items,Gun,,,Compound Bow,,,,,,,,,,,,,
gunBowT3CompoundCrossbow,items,Gun,,,Compound Crossbow,,,,,,,,,,,,,
gunExplosivesT3RocketLauncher,items,Gun,,,Rocket Launcher,,,,,,,,,,,,,
gunHandgunT0PipePistol,items,Gun,,,Pipe Revolver,,,,,,,,,,,,,
gunHandgunT1Pistol,items,Gun,,,M9 Pistol,,,,,,,,,,,,,
gunHandgunT2Magnum44,items,Gun,,,.44 Magnum Revolver,,,,,,,,,,,,,
gunHandgunT3DesertVulture,items,Gun,,,.44 Desert Vulture,,,,,,,,,,,,,
gunHandgunT3SMG5,items,Gun,,,SMG-5,,,,,,,,,,,,,
gunMGT0PipeMachineGun,items,Gun,,,Pipe Machine Gun,,,,,,,,,,,,,
gunMGT1AK47,items,Gun,,,AK-47 Machine Gun,,,,,,,,,,,,,
gunMGT2TacticalAR,items,Gun,,,Tactical Assault Rifle,,,,,,,,,,,,,
gunMGT3M60,items,Gun,,,M60 Machine Gun,,,,,,,,,,,,,
gunRifleT0PipeRifle,items,Gun,,,Pipe Rifle,,,,,,,,,,,,,
gunRifleT1HuntingRifle,items,Gun,,,Hunting Rifle,,,,,,,,,,,,,
gunRifleT2LeverActionRifle,items,Gun,,,Lever-action Rifle,,,,,,,,,,,,,
gunRifleT3SniperRifle,items,Gun,,,Sniper Rifle,,,,,,,,,,,,,
gunShotgunT0PipeShotgun,items,Gun,,,Pipe Shotgun,,,,,,,,,,,,,
gunShotgunT1DoubleBarrel,items,Gun,,,Double-barreled Shotgun,,,,,,,,,,,,,
gunShotgunT2PumpShotgun,items,Gun,,,Pump Shotgun,,,,,,,,,,,,,
gunShotgunT3AutoShotgun,items,Gun,,,Auto Shotgun,,,,,,,,,,,,,
IZYadvancegunrepairkit,items,gun,,,Advanced Repair Kit,,,,,,,,,,,,,
IZYAmmoHeavyWeaponFlamethrowerNapalmLethalMixture,items,gun,,,Napalm - Lethal Mixture,,,,,,,,,,,,,
IZYAmmoHeavyWeaponFlamethrowerNapalmStandardMixture,items,gun,,,Napalm - Standard Mixture,,,,,,,,,,,,,
IZYBuff2Handsblocking,buffs,Buff,,,Blocking,,,,,,,,,,,,,
IZYgunT0PistolLiberatorImprovisedPistol,items,gun,,,FP-45 Liberator Pistol,,,,,,,,,,,,,
IZYgunT0SMGPIPEsubmachinegun,items,gun,,,Pipe SMG,,,,,,,,,,,,,
IZYgunT0SNIPERpipeAR15Broken15Junk,items,gun,,,Broken AR-15,,,,,,,,,,,,,
IZYgunT145TACSMGMAC10,items,gun,,,MAC-10 SMG,,,,,,,,,,,,,
IZYgunT1ARCabineM608SurvivalRifle,items,gun,,,Model 608 Survival Rifle,,,,,,,,,,,,,
