Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
meleeWpnBatonT3PlasmaBaton,items,Melee,,x,Plasma Baton (T3),,,,,,,,,,,,,
meleeWpnBatonT0PipeBaton,items,Melee,,,Pipe Baton (T0),,,,,,,,,,,,,
meleeWpnBatonT2StunBaton,items,Melee,,,Stun Baton (T2),,,,,,,,,,,,,
meleeWpnBatonT2StunBatonParts,items,Melee,,,Baton Parts (T2),,,,,,,,,,,,,
meleeWpnBladeT0BoneKnife,items,Melee,,,Bone Knife (T0),,,,,,,,,,,,,
meleeWpnBladeT1CandyKnife,items,Melee,,,Candy Cane Knife (T1),,,,,,,,,,,,,
meleeWpnBladeT1HuntingKnife,items,Melee,,,Hunting Knife (T1),,,,,,,,,,,,,
meleeWpnBladeT3Machete,items,Melee,,,Machete (T3),,,,,,,,,,,,,
meleeWpnClubT0WoodenClub,items,Melee,,,Wooden Club (T0),,,,,,,,,,,,,
meleeWpnClubT1BaseballBat,items,Melee,,,Baseball Bat (T1),,,,,,,,,,,,,
meleeWpnClubT1CandyClub,items,Melee,,,Candy Cane Club (T1),,,,,,,,,,,,,
meleeWpnClubT3SteelClub,items,Melee,,,Steel Club (T3),,,,,,,,,,,,,
meleeWpnKnucklesT0LeatherKnuckles,items,Melee,,,Knuckle Wraps (T0),,,,,,,,,,,,,
meleeWpnKnucklesT1IronKnuckles,items,Melee,,,Iron Knuckles (T1),,,,,,,,,,,,,
meleeWpnKnucklesT3SteelKnuckles,items,Melee,,,Steel Knuckles (T3),,,,,,,,,,,,,
meleeWpnSledgeT0StoneSledgehammer,items,Melee,,,Stone Sledgehammer (T0),,,,,,,,,,,,,
meleeWpnSledgeT1IronSledgehammer,items,Melee,,,Iron Sledgehammer (T1),,,,,,,,,,,,,
meleeWpnSledgeT3SteelSledgehammer,items,Melee,,,Steel Sledgehammer (T3),,,,,,,,,,,,,
meleeWpnSpearT0StoneSpear,items,Melee,,,Stone Spear (T0),,,,,,,,,,,,,
meleeWpnSpearT1IronSpear,items,Melee,,,Iron Spear (T1),,,,,,,,,,,,,
meleeWpnSpearT3SteelSpear,items,Melee,,,Steel Spear (T3),,,,,,,,,,,,,
